0.088400,0.000359058380127;
0.066300,0.000679969787598;
0.066300,0.00098705291748;
0.000000,0.00139594078064;
0.044200,0.00174188613892;
0.066300,0.0021538734436;
0.066300,0.00249886512756;
0.044200,0.00290489196777;
0.066300,0.00335288047791;
0.044200,0.00366997718811;
0.022100,0.00398087501526;
0.088400,0.00434899330139;
0.066300,0.00472497940063;
0.044200,0.00512003898621;
0.044200,0.00559902191162;
0.044200,0.00597596168518;
0.044200,0.00641989707947;
0.000000,0.00679993629456;
0.044200,0.00714683532715;
0.044200,0.0074520111084;
0.044200,0.00775599479675;
0.044200,0.00806283950806;
0.044200,0.00838494300842;
0.000000,0.00876784324646;
0.044200,0.00914692878723;
0.088400,0.00952196121216;
0.044200,0.00990390777588;
0.066300,0.0102519989014;
0.022100,0.0105938911438;
0.022100,0.0109338760376;
0.044200,0.0112500190735;
0.066300,0.0115540027618;
0.022100,0.0118598937988;
0.022100,0.0121479034424;
0.022100,0.0124928951263;
0.000000,0.0128879547119;
0.022100,0.0131978988647;
0.044200,0.0136370658875;
0.044200,0.0140309333801;
0.022100,0.0144309997559;
0.022100,0.0147910118103;
0.044200,0.0151510238647;
0.066300,0.015478849411;
0.044200,0.0158069133759;
0.044200,0.0161509513855;
0.044200,0.0165228843689;
0.044200,0.0169279575348;
0.044200,0.0172729492188;
0.022100,0.0176658630371;
0.000000,0.0181059837341;
0.066300,0.0186538696289;
0.044200,0.0190939903259;
0.022100,0.0195479393005;
0.022100,0.0199348926544;
0.066300,0.0203049182892;
0.000000,0.0206859111786;
0.044200,0.0210628509521;
-0.022100,0.0214228630066;
0.044200,0.021803855896;
0.044200,0.022274017334;
0.044200,0.022912979126;
0.044200,0.0234580039978;
0.022100,0.0239338874817;
0.066300,0.0244860649109;
0.022100,0.0249998569489;
0.088400,0.0254728794098;
0.044200,0.0259740352631;
0.022100,0.0265309810638;
0.022100,0.0270390510559;
0.066300,0.0275309085846;
0.022100,0.0280518531799;
0.044200,0.0285789966583;
0.088400,0.0290939807892;
0.110500,0.0295238494873;
0.088400,0.029942035675;
0.088400,0.0303549766541;
0.044200,0.0307679176331;
0.022100,0.0311899185181;
0.044200,0.0316050052643;
0.066300,0.0320320129395;
0.066300,0.0324399471283;
0.022100,0.0328390598297;
0.044200,0.0332639217377;
0.044200,0.0336890220642;
0.110500,0.0340740680695;
0.044200,0.0344469547272;
0.066300,0.0349349975586;
0.066300,0.0353269577026;
0.044200,0.0356709957123;
0.044200,0.0360178947449;
0.088400,0.0363688468933;
0.044200,0.0367858409882;
0.000000,0.0372228622437;
0.000000,0.0376648902893;
0.066300,0.0380790233612;
0.066300,0.0385210514069;
0.022100,0.0388948917389;
0.066300,0.039244890213;
0.022100,0.039617061615;
0.088400,0.0399549007416;
0.022100,0.0403468608856;
0.044200,0.0406939983368;
0.088400,0.0410280227661;
0.066300,0.0414099693298;
0.044200,0.0417869091034;
0.088400,0.0421550273895;
0.066300,0.0425279140472;
0.022100,0.0429399013519;
0.044200,0.0432980060577;
0.088400,0.0436308383942;
0.022100,0.0439610481262;
0.044200,0.0443599224091;
0.088400,0.0447750091553;
0.044200,0.0451529026031;
0.044200,0.045567035675;
0.022100,0.0459949970245;
0.066300,0.0464508533478;
0.022100,0.0468938350677;
0.044200,0.0473039150238;
0.088400,0.0476498603821;
0.088400,0.0479929447174;
0.044200,0.0483708381653;
0.110500,0.0487878322601;
0.044200,0.0491549968719;
0.022100,0.0495748519897;
0.044200,0.0500490665436;
0.066300,0.0504560470581;
0.088400,0.0508799552917;
0.022100,0.0521860122681;
0.044200,0.052747964859;
0.022100,0.0531630516052;
0.044200,0.0535590648651;
0.044200,0.053946018219;
0.044200,0.0543830394745;
0.000000,0.0550179481506;
0.000000,0.0555548667908;
0.044200,0.0560078620911;
0.088400,0.0563960075378;
0.066300,0.0567860603333;
0.066300,0.0571880340576;
0.044200,0.0576329231262;
0.066300,0.0580449104309;
0.022100,0.0584750175476;
0.022100,0.0589020252228;
0.044200,0.0592968463898;
0.022100,0.0596280097961;
0.022100,0.0599589347839;
0.022100,0.0603580474854;
0.066300,0.0606799125671;
-0.022100,0.0610029697418;
0.044200,0.0613589286804;
0.044200,0.0616819858551;
0.022100,0.0620028972626;
0.110500,0.0623559951782;
0.044200,0.0626809597015;
0.066300,0.0630040168762;
0.022100,0.063355922699;
0.022100,0.0637810230255;
0.022100,0.0641510486603;
0.088400,0.0644738674164;
0.044200,0.0648789405823;
0.044200,0.0652029514313;
0.044200,0.0656418800354;
0.088400,0.0660419464111;
0.044200,0.0664899349213;
0.022100,0.0669178962708;
0.022100,0.067342042923;
0.000000,0.0677769184113;
0.044200,0.0681960582733;
0.066300,0.0685849189758;
0.000000,0.06893491745;
0.044200,0.0693030357361;
0.000000,0.0697009563446;
0.066300,0.0700759887695;
0.044200,0.0704438686371;
0.044200,0.0708088874817;
0.088400,0.0711829662323;
0.044200,0.0715818405151;
0.088400,0.0719859600067;
0.044200,0.0723788738251;
0.066300,0.0727789402008;
0.110500,0.0731580257416;
0.044200,0.0735619068146;
0.066300,0.0739278793335;
0.066300,0.0743019580841;
0.110500,0.0746688842773;
0.088400,0.075031042099;
0.088400,0.0754189491272;
0.044200,0.0757820606232;
0.022100,0.0761590003967;
0.044200,0.0765180587769;
0.022100,0.0768918991089;
0.088400,0.0772428512573;
0.022100,0.0775990486145;
0.044200,0.0779540538788;
0.044200,0.0783698558807;
0.088400,0.0787239074707;
0.088400,0.0790770053864;
0.022100,0.0794310569763;
-0.044200,0.0797848701477;
0.000000,0.0801558494568;
0.066300,0.0805108547211;
0.022100,0.080864906311;
0.110500,0.0812058448792;
0.066300,0.0815770626068;
0.022100,0.0819630622864;
0.088400,0.0824279785156;
0.066300,0.0828878879547;
0.022100,0.0836100578308;
0.110500,0.0840408802032;
0.132600,0.0844230651855;
0.044200,0.0847790241241;
0.066300,0.0851600170135;
0.044200,0.085520029068;
0.066300,0.0859010219574;
0.066300,0.0862588882446;
0.022100,0.0867738723755;
0.088400,0.0872519016266;
0.110500,0.0876610279083;
0.066300,0.0880000591278;
0.022100,0.0883610248566;
0.022100,0.0887050628662;
0.088400,0.0890429019928;
0.066300,0.0894050598145;
0.022100,0.0897459983826;
0.066300,0.0900750160217;
0.022100,0.090402841568;
0.022100,0.0907318592072;
0.066300,0.0910618305206;
0.044200,0.091402053833;
0.066300,0.0917320251465;
0.022100,0.0920610427856;
0.066300,0.0924010276794;
0.044200,0.0927278995514;
0.066300,0.0930609703064;
0.066300,0.0934019088745;
0.088400,0.093729019165;
0.044200,0.0940568447113;
0.022100,0.0943999290466;
0.022100,0.0947270393372;
0.022100,0.0950520038605;
0.044200,0.0954010486603;
0.022100,0.0957279205322;
0.044200,0.09605884552;
0.022100,0.0964000225067;
0.044200,0.096727848053;
0.044200,0.0970530509949;
0.044200,0.0974040031433;
0.044200,0.0979299545288;
0.066300,0.0985250473022;
0.044200,0.0989859104156;
0.044200,0.0994579792023;
0.022100,0.0998768806458;
0.000000,0.100338935852;
0.110500,0.100760936737;
0.044200,0.10117483139;
0.044200,0.101585865021;
0.044200,0.101969003677;
0.022100,0.102750062943;
0.044200,0.103735923767;
0.022100,0.105650901794;
0.066300,0.10617685318;
0.066300,0.106579065323;
0.044200,0.106992959976;
0.066300,0.10737991333;
0.088400,0.107820034027;
0.022100,0.108227968216;
0.088400,0.108594894409;
0.088400,0.108934879303;
0.022100,0.114358901978;
0.044200,0.11563706398;
0.088400,0.116832971573;
0.066300,0.117784023285;
0.044200,0.118413925171;
0.066300,0.118782043457;
0.044200,0.119166851044;
0.044200,0.119560956955;
0.044200,0.119871854782;
0.066300,0.120172023773;
0.066300,0.12047290802;
0.044200,0.120771884918;
0.044200,0.121069908142;
0.022100,0.121384859085;
0.000000,0.121762037277;
0.022100,0.12214589119;
0.044200,0.122478961945;
0.044200,0.122870922089;
0.000000,0.123214006424;
0.022100,0.123585939407;
0.066300,0.123977899551;
0.088400,0.124439954758;
0.044200,0.124982833862;
0.022100,0.125601053238;
0.088400,0.126196861267;
0.022100,0.126699924469;
0.044200,0.12725687027;
0.022100,0.127879858017;
0.066300,0.128198862076;
0.000000,0.128499984741;
0.066300,0.128856897354;
0.022100,0.129323959351;
0.066300,0.129698038101;
0.022100,0.130167961121;
0.022100,0.130609035492;
0.088400,0.131010055542;
0.022100,0.131415843964;
0.044200,0.131734848022;
0.044200,0.132041931152;
0.044200,0.132387876511;
0.066300,0.132693052292;
0.022100,0.133000850677;
0.044200,0.133344888687;
0.132600,0.133686065674;
0.022100,0.133991956711;
0.088400,0.134342908859;
0.066300,0.13468503952;
0.066300,0.134991884232;
0.066300,0.135344028473;
0.110500,0.135808944702;
0.022100,0.136155843735;
0.000000,0.136479854584;
0.066300,0.136790990829;
0.022100,0.137147903442;
0.044200,0.137459993362;
0.066300,0.137776851654;
0.022100,0.138152837753;
0.044200,0.138465881348;
0.022100,0.138777971268;
0.066300,0.139149904251;
0.000000,0.139461040497;
0.000000,0.13977098465;
0.044200,0.140147924423;
0.044200,0.140585899353;
0.044200,0.140938043594;
0.088400,0.141335010529;
0.066300,0.141738891602;
0.022100,0.142187833786;
0.044200,0.142588853836;
0.066300,0.143008947372;
0.022100,0.143436908722;
0.110500,0.143836975098;
0.022100,0.144201993942;
0.022100,0.144518852234;
